location,date,New_Cases,New_Deaths,Reproduction_Rate,ICU_Patients,Hosp_Patients,Positive_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_Boosters,Population,Population_Density,Extreme_Poverty
Colombia,2020,1642775.0,43213.0,338.87,0.0,0.0,48.216,0.0,0.0,0.0,15431018141.0,13311.123,1354.5
Colombia,2021,3514665.0,86729.0,360.46,0.0,0.0,57.508,2821885535.0,2726649528.0,27223883.0,18712031965.0,16141.395,1642.5
Colombia,2022,928486.0,9718.0,74.06,0.0,0.0,18.111,2261742718.0,1815959315.0,369600194.0,4767723213.0,4112.739,418.5
Cook Islands,2021,2.0,0.0,0.0,0.0,0.0,0.0,122623.0,86990.0,0.0,3953700.0,0.0,0.0
Cook Islands,2022,2294.0,0.0,0.0,0.0,0.0,0.0,128110.0,119428.0,0.0,1634196.0,0.0,0.0
Czechia,2020,718661.0,11594.0,342.5,80484.0,501659.0,23.546,34408.0,3.0,0.0,3281713218.0,41975.856,0.0
Czechia,2021,1760378.0,24565.0,375.8,216687.0,1179016.0,19.958,1447907460.0,1197140395.0,73905723.0,3914461845.0,50069.24,0.0
Czechia,2022,1356560.0,3594.0,91.97,28751.0,244652.0,18.147,644041187.0,632865408.0,347519453.0,997383429.0,12757.367999999999,0.0
Denmark,2020,163479.0,1304.0,334.75,9889.0,46498.0,6.4038,87082.0,3.0,0.0,1941642868.0,45597.68,66.8
Denmark,2021,130620.0,1059.0,138.85,7751.0,44344.0,1.3785,285024514.0,213467158.0,8684857.0,837115488.0,19658.88,28.8
Denmark,2022,19731.0,94.0,1.93,176.0,6317.0,0.7609,19360625.0,19198661.0,14439754.0,40693114.0,955.6400000000001,1.4000000000000001
Fiji,2020,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304276963.0,16702.394,471.79999999999995
Fiji,2021,53283.0,698.0,277.1,0.0,0.0,0.0,15520179.0,9540742.0,0.0,329558135.0,18090.129999999997,510.99999999999994
Fiji,2022,11085.0,136.0,88.93,0.0,0.0,0.0,8693851.0,8030898.0,1769892.0,83969607.0,4609.266,130.2
Finland,2020,36422.0,592.0,320.14,4238.0,18789.0,7.048,0.0,0.0,0.0,1875346018.0,6129.968,0.0
Finland,2021,234407.0,1122.0,386.49,8762.0,49518.0,12.369,115197338.0,79163971.0,8903010.0,2025151765.0,6619.639999999999,0.0
Finland,2022,618797.0,1280.0,101.05,3914.0,66739.0,32.515,109738467.0,188669102.0,130575347.0,515997573.0,1686.648,0.0
France,2020,2735590.0,65031.0,370.69,643631.0,4569985.0,11.743,7901.0,0.0,0.0,23125746000.0,42044.254,0.0
France,2021,7706191.0,59161.0,390.07,981618.0,6008717.0,16.671,11165464406.0,8539859069.0,741008674.0,24609030000.0,44740.97,0.0
France,2022,16033164.0,18770.0,91.92,266186.0,2368187.0,22.857,4840796551.0,4651292093.0,2965365194.0,6270246000.0,11399.754,0.0
Germany,2020,1719737.0,33079.0,363.5,438388.0,0.0,1.778,522357.0,2462.0,3.0,28526160140.0,80585.44,0.0
Germany,2021,5430685.0,78854.0,373.65,1009216.0,0.0,4.6530000000000005,13295454023.0,10752803548.0,940842120.0,30623671915.0,86510.84,0.0
