Region_x,Quarter_x,Country_x,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty,BU_ID,Country_y,Region_y,Quarter_y,SKU_NUMBER,SKU_AGE,Category,Revenue,Margin,Revenue_Rng
AMER,FY21Q4,Mexico,923082.0,65290.0,0.0,0.0,274982.0,227.5,11,United States,AMER,FY22Q3,325-BDWY,2,CHASSIS/COVER/PANEL/BEZEL,1065.35,424.57,Rev > 1m
AMER,FY21Q4,Peru,222091.0,16387.0,0.0,0.0,0.0,318.5,11,United States,AMER,FY22Q3,325-BDXB,2,NETWORKING CARDS,68300.34,26880.51,Rev > 1m
AMER,FY21Q4,United States,7148918.0,71221.0,810995.0,3369034.0,0.0,51.6,11,United States,AMER,FY22Q3,325-BEBE,2,CHASSIS/COVER/PANEL/BEZEL,355.61,80.07,Rev < 1k
AMER,FY21Q4,Venezuela,34187.0,384.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,330-0273,15,Enterprise Server HW,23.99,19.08,Rev < 1k
AMER,FY22Q1,Argentina,1062001.0,16090.0,328133.0,0.0,47872369.0,54.6,11,United States,AMER,FY22Q3,330-0327,15,Networking,444.77,319.97,Rev < 1k
AMER,FY22Q1,Brazil,5547597.0,181642.0,0.0,0.0,412558693.0,309.4,11,United States,AMER,FY22Q3,330-0538,14,Enterprise Server HW,580.85,425.15,Rev < 1k
AMER,FY22Q1,Chile,479496.0,8096.0,207671.0,0.0,222850938.0,118.3,11,United States,AMER,FY22Q3,330-0949,14,Enterprise Server HW,59.97,48.72,Rev < 1k
AMER,FY22Q1,Colombia,782091.0,20436.0,0.0,0.0,28394967.0,409.5,11,United States,AMER,FY22Q3,330-1174,14,Enterprise Server HW,202.74,126.89,Rev < 1k
AMER,FY22Q1,Mexico,502862.0,60328.0,0.0,0.0,122771558.0,227.5,11,United States,AMER,FY22Q3,330-1175,14,Enterprise Server HW,20.94,14.02,Rev < 1k
AMER,FY22Q1,Peru,679760.0,63945.0,0.0,0.0,23190917.0,318.5,11,United States,AMER,FY22Q3,330-3393,14,Enterprise Server HW,35.99,26.31,Rev < 1k
AMER,FY22Q1,Venezuela,71907.0,959.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,330-3406,14,Networking,68.3,50.5,Rev < 1k
AMER,FY22Q2,Argentina,1942045.0,41721.0,550796.0,0.0,341399695.0,54.6,11,United States,AMER,FY22Q3,330-4163,13,Enterprise Server HW,386.35,262.38,Rev < 1k
AMER,FY22Q2,Brazil,5211954.0,151197.0,0.0,0.0,2322194388.0,309.4,11,United States,AMER,FY22Q3,330-5835,13,Enterprise Server HW,170.91,107.02,Rev < 1k
AMER,FY22Q2,Canada,538.0,0.0,248.0,520.0,19911150.0,0.5,11,United States,AMER,FY22Q3,330-8105,13,POWER SUPPLY,35868.77,23315.19,Rev > 1m
AMER,FY22Q2,Chile,416384.0,9013.0,257838.0,0.0,866964649.0,118.3,11,United States,AMER,FY22Q3,331-5817,11,Power Peripherals Fulfilled,38736.68,27574.37,Rev > 1m
AMER,FY22Q2,Colombia,1916567.0,46712.0,0.0,0.0,378956278.0,409.5,11,United States,AMER,FY22Q3,331-7957,10,Power Peripherals Fulfilled,14751.28,11264.7,Rev > 1m
AMER,FY22Q2,Mexico,484688.0,19277.0,0.0,0.0,1357293081.0,227.5,11,United States,AMER,FY22Q3,331-8833,10,Power Peripherals Fulfilled,64939.09,46276.88,Rev > 1m
AMER,FY22Q2,Peru,309150.0,30192.0,0.0,0.0,221386730.0,318.5,11,United States,AMER,FY22Q3,331-9319,10,Power Peripherals Fulfilled,5300.02,3357.39,Rev > 1m
AMER,FY22Q2,Venezuela,107043.0,1440.0,0.0,0.0,1923470.0,0.0,11,United States,AMER,FY22Q3,332-1432,9,Power Peripherals Fulfilled,5656.41,3691.71,Rev > 1m
AMER,FY22Q3,Argentina,368039.0,10349.0,183816.0,0.0,1673176924.0,54.6,11,United States,AMER,FY22Q3,332-1827,9,Power Peripherals Fulfilled,20219.0,14604.74,Rev > 1m
AMER,FY22Q3,Brazil,1786547.0,52006.0,0.0,0.0,6956761420.0,309.4,11,United States,AMER,FY22Q3,332-1829,9,Power Peripherals Fulfilled,126338.39,82324.34,Rev > 1m
AMER,FY22Q3,Canada,1065.0,0.0,405.0,892.0,46048023.0,1.0,11,United States,AMER,FY22Q3,332-1831,9,Power Peripherals Fulfilled,171901.95,107732.84,Rev > 1m
AMER,FY22Q3,Chile,76106.0,2576.0,58060.0,0.0,1256676440.0,118.3,11,United States,AMER,FY22Q3,332-1833,9,Power Peripherals Fulfilled,101918.21,68026.45,Rev > 1m
AMER,FY22Q3,Colombia,222757.0,6793.0,0.0,0.0,1107438899.0,409.5,11,United States,AMER,FY22Q3,3324J,2,BATTERY,1066.89,745.6,Rev > 1m
AMER,FY22Q3,Mexico,972844.0,47495.0,0.0,0.0,3087186985.0,227.5,11,United States,AMER,FY22Q3,338-BSTD,3,Processor,16516.72,4691.36,Rev > 1m
AMER,FY22Q3,Peru,91281.0,4013.0,0.0,0.0,927312008.0,318.5,11,United States,AMER,FY22Q3,338-BSTL,3,Processor,497.99,283.65,Rev < 1k
AMER,FY22Q3,Venezuela,99661.0,1284.0,0.0,0.0,25031622.0,0.0,11,United States,AMER,FY22Q3,338-BSTZ,3,Processor,7303.84,365.12,Rev > 1m
AMER,FY22Q4,Argentina,2984189.0,4722.0,101341.0,0.0,2866347126.0,54.6,11,United States,AMER,FY22Q3,379-BEUP,1,ORDER ADJUSTMENT,558203.0,558143.55,Rev > 1m
AMER,FY22Q4,Brazil,3252118.0,18437.0,0.0,0.0,11443379277.0,309.4,11,United States,AMER,FY22Q3,389-DQQM,3,LABELS,30400.0,2640.0,Rev > 1m
AMER,FY22Q4,Chile,384968.0,1891.0,50815.0,0.0,1480196027.0,118.3,11,United States,AMER,FY22Q3,389-DSCT,3,ACCESSORIES,12613.28,931.74,Rev > 1m
AMER,FY22Q4,Colombia,838360.0,6335.0,0.0,0.0,1867964685.0,409.5,11,United States,AMER,FY22Q3,389-DSDH,3,ACCESSORIES,111497.12,-8390.06,Rev > 1m
AMER,FY22Q4,Mexico,1071274.0,17289.0,0.0,0.0,4190664074.0,227.5,11,United States,AMER,FY22Q3,389-DSEI,3,ACCESSORIES,235132.97,-10151.148,Rev > 1m
AMER,FY22Q4,Peru,920525.0,4743.0,0.0,0.0,1808032886.0,318.5,11,United States,AMER,FY22Q3,39DY5,5,BATTERY,40960.33,33194.13,Rev > 1m
AMER,FY22Q4,Venezuela,74624.0,570.0,0.0,0.0,44407815.0,0.0,11,United States,AMER,FY22Q3,3CRH3,6,BATTERY,1974.33,1688.38,Rev > 1m
AMER,FY23Q1,Argentina,752176.0,7189.0,82645.0,0.0,2031788425.0,33.6,11,United States,AMER,FY22Q3,3VC9Y,6,BATTERY,185.88,151.28,Rev < 1k
AMER,FY23Q1,Brazil,4759168.0,32685.0,0.0,0.0,8502159284.0,190.4,11,United States,AMER,FY22Q3,400-AEMC,8,HD,22344.87,10271.51,Rev > 1m
AMER,FY23Q1,Canada,48337.0,289.0,2609.0,21586.0,62171768.0,3.0,11,United States,AMER,FY22Q3,400-APYM,6,HD,17658.89,9178.87,Rev > 1m
AMER,FY23Q1,Chile,1359205.0,5155.0,46567.0,0.0,910473065.0,72.8,11,United States,AMER,FY22Q3,400-AXBJ,5,HD,217.66,156.03,Rev < 1k
AMER,FY23Q1,Colombia,245535.0,5984.0,0.0,0.0,1020378722.0,252.0,11,United States,AMER,FY22Q3,400-AXBK,5,HD,37.06,17.63,Rev < 1k
AMER,FY23Q1,Mexico,773480.0,17394.0,0.0,0.0,3457370198.0,140.0,11,United States,AMER,FY22Q3,400-AXBL,5,HD,76.45,55.78,Rev < 1k
AMER,FY23Q1,Peru,423937.0,7110.0,0.0,0.0,1273191298.0,196.0,11,United States,AMER,FY22Q3,400-AXBM,5,HD,78.52,59.59,Rev < 1k
AMER,FY23Q1,United States,191089.0,3847.0,3684.0,19015.0,868879249.0,6.0,11,United States,AMER,FY22Q3,400-AXZW,4,HD,34703.89,12192.09,Rev > 1m
AMER,FY23Q1,Venezuela,41027.0,246.0,0.0,0.0,71288216.0,0.0,11,United States,AMER,FY22Q3,400-AYLK,4,HD,2652.5,1164.83,Rev > 1m
APJ,FY21Q1,Afghanistan,2173.0,64.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,400-AYTC,4,HD,15600.2,6819.23,Rev > 1m
APJ,FY21Q1,Australia,6778.0,93.0,2039.0,7265.0,0.0,48.5,11,United States,AMER,FY22Q3,400-AYTD,4,HD,20506.8,8206.4,Rev > 1m
APJ,FY21Q1,Bangladesh,8238.0,170.0,0.0,0.0,0.0,814.0,11,United States,AMER,FY22Q3,400-AZWH,4,HD,2232.77,1257.34,Rev > 1m
APJ,FY21Q1,Bhutan,7.0,0.0,0.0,0.0,0.0,85.5,11,United States,AMER,FY22Q3,400-BBMR,4,HD,215.88,114.01,Rev < 1k
APJ,FY21Q1,Brunei,138.0,1.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,400-BBSF,4,HD,1324.0,-688.0,Rev > 1m
APJ,FY21Q1,Cambodia,122.0,0.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,400-BBSH,4,ACCESSORIES,55.89,29.64,Rev < 1k
APJ,FY21Q1,China,82328.0,4616.0,0.0,0.0,0.0,70.69999999999999,11,United States,AMER,FY22Q3,400-BFCX,3,HD,3849.54,3140.16,Rev > 1m
APJ,FY21Q1,Fiji,18.0,0.0,0.0,0.0,0.0,130.2,11,United States,AMER,FY22Q3,400-BFIR,3,HD,5400.53,3097.64,Rev > 1m
APJ,FY21Q1,Hong Kong,1039.0,4.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,400-BFOF,3,HD,482.35,236.75,Rev < 1k
APJ,FY21Q1,India,37257.0,1224.0,0.0,0.0,0.0,1971.6,11,United States,AMER,FY22Q3,400-BFVW,3,HD,46366.69,26846.99,Rev > 1m
APJ,FY21Q1,Indonesia,10551.0,800.0,0.0,0.0,0.0,347.7,11,United States,AMER,FY22Q3,400-BIDQ,3,HD,6177.75,3613.04,Rev > 1m
APJ,FY21Q1,Japan,14556.0,510.0,0.0,5514.0,0.0,0.0,11,United States,AMER,FY22Q3,400-BKNW,2,HD,50.39,13.33,Rev < 1k
APJ,FY21Q1,Laos,19.0,0.0,0.0,0.0,0.0,885.3,11,United States,AMER,FY22Q3,400-BLMB,2,BATTERY,107.99,60.64,Rev < 1k
APJ,FY21Q1,Malaysia,6071.0,103.0,2439.0,49869.0,0.0,9.9,11,United States,AMER,FY22Q3,400-BLZW,1,HD,1744.39,567.3,Rev > 1m
APJ,FY21Q1,Maldives,491.0,1.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,401-ABZU,2,HD,7066.01,4079.02,Rev > 1m
APJ,FY21Q1,Mongolia,38.0,0.0,0.0,0.0,0.0,26.5,11,United States,AMER,FY22Q3,403-BBUH,5,NETWORKING CARDS,1743.24,1260.2,Rev > 1m
APJ,FY21Q1,Myanmar,151.0,6.0,0.0,0.0,0.0,230.4,11,United States,AMER,FY22Q3,403-BBUI,5,HD,521.58,338.918,Rev < 1k
