Region,Location,Year,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
APJ,Myanmar,2020,124630.0,2682.0,0.0,0.0,0.0,1792.0
APJ,Myanmar,2021,406204.0,16587.0,0.0,0.0,102174864.0,2336.0
APJ,Myanmar,2022,81041.0,165.0,0.0,0.0,381729688.0,595.2
APJ,Nauru,2021,0.0,0.0,0.0,0.0,26319.0,0.0
APJ,Nauru,2022,0.0,0.0,0.0,0.0,15038.0,0.0
APJ,Nepal,2020,260594.0,1856.0,0.0,0.0,0.0,5130.0
APJ,Nepal,2021,567838.0,9738.0,0.0,0.0,435479637.0,5475.0
APJ,Nepal,2022,150044.0,357.0,0.0,0.0,700509480.0,1395.0
APJ,New Zealand,2020,2164.0,25.0,0.0,0.0,0.0,0.0
APJ,New Zealand,2021,11959.0,26.0,0.0,0.0,412713647.0,0.0
APJ,New Zealand,2022,689349.0,312.0,0.0,0.0,351232918.0,0.0
APJ,Pakistan,2020,482178.0,10176.0,0.0,0.0,0.0,1244.0
APJ,Pakistan,2021,813755.0,18757.0,0.0,0.0,3142203332.0,1460.0
APJ,Pakistan,2022,229687.0,1428.0,0.0,0.0,3211131588.0,372.0
APJ,Palau,2021,10.0,0.0,0.0,0.0,0.0,0.0
APJ,Palau,2022,4032.0,6.0,0.0,0.0,0.0,0.0
APJ,Papua New Guinea,2020,796.0,9.0,0.0,0.0,0.0,0.0
APJ,Papua New Guinea,2021,35378.0,581.0,0.0,0.0,1175851.0,0.0
APJ,Papua New Guinea,2022,7045.0,50.0,0.0,0.0,2853970.0,0.0
APJ,Philippines,2020,474064.0,9246.0,0.0,0.0,0.0,0.0
APJ,Philippines,2021,2369926.0,42260.0,0.0,0.0,2022272851.0,0.0
APJ,Philippines,2022,835993.0,7839.0,0.0,0.0,1813536201.0,0.0
APJ,Samoa,2020,2.0,0.0,0.0,0.0,0.0,0.0
APJ,Samoa,2021,1.0,0.0,0.0,0.0,1171306.0,0.0
APJ,Samoa,2022,2328.0,1.0,0.0,0.0,761938.0,0.0
APJ,Singapore,2020,58599.0,29.0,0.0,0.0,0.0,0.0
APJ,Singapore,2021,220806.0,799.0,0.0,0.0,882854852.0,0.0
APJ,Singapore,2022,830339.0,448.0,0.0,0.0,416694553.0,0.0
APJ,Solomon Islands,2020,17.0,0.0,0.0,0.0,0.0,2033.1000000000001
APJ,Solomon Islands,2021,7.0,0.0,0.0,0.0,428078.0,9161.5
APJ,Solomon Islands,2022,11449.0,133.0,0.0,0.0,871440.0,2334.3
APJ,South Korea,2020,61768.0,917.0,20371.0,0.0,0.0,69.0
APJ,South Korea,2021,573484.0,4708.0,114651.0,0.0,4849828495.0,73.0
APJ,South Korea,2022,13366153.0,11828.0,60782.0,0.0,4099065315.0,18.6
APJ,Sri Lanka,2020,43299.0,204.0,0.0,0.0,0.0,237.99999999999997
APJ,Sri Lanka,2021,543946.0,14775.0,0.0,0.0,1589999249.0,255.49999999999997
APJ,Sri Lanka,2022,74746.0,1502.0,0.0,0.0,1038999270.0,65.1
APJ,Taiwan,2020,801.0,7.0,0.0,0.0,0.0,0.0
APJ,Taiwan,2021,16230.0,843.0,0.0,0.0,839462022.0,0.0
APJ,Taiwan,2022,7284.0,3.0,0.0,0.0,1163882425.0,0.0
APJ,Thailand,2020,6898.0,61.0,0.0,0.0,0.0,36.300000000000004
APJ,Thailand,2021,2216551.0,21639.0,0.0,0.0,3709940465.0,36.5
APJ,Thailand,2022,1513052.0,3814.0,0.0,0.0,4555854020.0,9.3
APJ,Timor,2020,44.0,0.0,0.0,0.0,0.0,8635.5
APJ,Timor,2021,19793.0,122.0,0.0,0.0,6234931.0,11059.5
APJ,Timor,2022,3000.0,8.0,0.0,0.0,6215325.0,2817.9
APJ,Tonga,2021,1.0,0.0,0.0,0.0,476539.0,0.0
APJ,Tonga,2022,7126.0,9.0,0.0,0.0,331134.0,0.0
APJ,Tuvalu,2021,0.0,0.0,0.0,0.0,17362.0,590.6999999999999
APJ,Vanuatu,2020,1.0,0.0,0.0,0.0,0.0,686.4
APJ,Vanuatu,2021,6.0,1.0,0.0,0.0,413176.0,4818.0
APJ,Vanuatu,2022,4230.0,1.0,0.0,0.0,306509.0,1227.6
APJ,Vietnam,2020,1465.0,36.0,0.0,0.0,0.0,688.0
APJ,Vietnam,2021,1729792.0,32359.0,0.0,0.0,715796809.0,730.0
APJ,Vietnam,2022,8087071.0,10390.0,0.0,0.0,1996864964.0,186.0
EMEA,Armenia,2020,159409.0,2823.0,0.0,0.0,0.0,599.4
EMEA,Armenia,2021,185521.0,5151.0,0.0,0.0,5677284.0,657.0
EMEA,Armenia,2022,77644.0,645.0,0.0,0.0,8398292.0,167.4
EMEA,Austria,2020,360815.0,6224.0,49422.0,294149.0,0.0,217.7
EMEA,Austria,2021,777077.0,6318.0,91276.0,404979.0,14257930.0,221.2
EMEA,Austria,2022,2218845.0,1946.0,17246.0,166951.0,6452037.0,56.699999999999996
EMEA,Belarus,2020,194284.0,1424.0,0.0,0.0,0.0,0.0
EMEA,Belarus,2021,504826.0,4154.0,0.0,0.0,41326293.0,0.0
EMEA,Belarus,2022,266212.0,1266.0,0.0,0.0,43701547.0,0.0
EMEA,Belgium,2020,639734.0,19351.0,132009.0,630598.0,0.0,65.8
EMEA,Belgium,2021,6874.0,0.0,19849.0,80383.0,486419812.0,13.0
EMEA,Belgium,2022,0.0,0.0,9653.0,82790.0,306222490.0,7.0
EMEA,Czechia,2020,718661.0,11594.0,80484.0,501659.0,3.0,0.0
EMEA,Czechia,2021,1760378.0,24565.0,216687.0,1179016.0,1197140395.0,0.0
EMEA,Czechia,2022,1356560.0,3594.0,28751.0,244652.0,632865408.0,0.0
EMEA,Denmark,2020,155826.0,1210.0,9493.0,43793.0,0.0,66.2
