Region,Quarter,Country,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
AMER,FY23Q1,Peru,423937.0,7110.0,0.0,0.0,1273191298.0,196.0
AMER,FY23Q1,United States,191089.0,3847.0,3684.0,19015.0,868879249.0,6.0
AMER,FY23Q1,Venezuela,41027.0,246.0,0.0,0.0,71288216.0,0.0
APJ,FY21Q1,Afghanistan,2173.0,64.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Australia,6778.0,93.0,2039.0,7265.0,0.0,48.5
APJ,FY21Q1,Bangladesh,8238.0,170.0,0.0,0.0,0.0,814.0
APJ,FY21Q1,Bhutan,7.0,0.0,0.0,0.0,0.0,85.5
APJ,FY21Q1,Brunei,138.0,1.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Cambodia,122.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,China,82328.0,4616.0,0.0,0.0,0.0,70.69999999999999
APJ,FY21Q1,Fiji,18.0,0.0,0.0,0.0,0.0,130.2
APJ,FY21Q1,Hong Kong,1039.0,4.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,India,37257.0,1224.0,0.0,0.0,0.0,1971.6
APJ,FY21Q1,Indonesia,10551.0,800.0,0.0,0.0,0.0,347.7
APJ,FY21Q1,Japan,14556.0,510.0,0.0,5514.0,0.0,0.0
APJ,FY21Q1,Laos,19.0,0.0,0.0,0.0,0.0,885.3
APJ,FY21Q1,Malaysia,6071.0,103.0,2439.0,49869.0,0.0,9.9
APJ,FY21Q1,Maldives,491.0,1.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Mongolia,38.0,0.0,0.0,0.0,0.0,26.5
APJ,FY21Q1,Myanmar,151.0,6.0,0.0,0.0,0.0,230.4
APJ,FY21Q1,Nepal,59.0,0.0,0.0,0.0,0.0,1470.0
APJ,FY21Q1,New Zealand,1486.0,20.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Pakistan,19103.0,440.0,0.0,0.0,0.0,268.0
APJ,FY21Q1,Papua New Guinea,8.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Philippines,8772.0,581.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Singapore,17101.0,16.0,876.0,17561.0,0.0,0.0
APJ,FY21Q1,South Korea,10779.0,250.0,2188.0,0.0,0.0,20.200000000000003
APJ,FY21Q1,Sri Lanka,690.0,7.0,0.0,0.0,0.0,67.19999999999999
APJ,FY21Q1,Taiwan,428.0,6.0,0.0,0.0,0.0,0.0
APJ,FY21Q1,Thailand,2956.0,54.0,0.0,0.0,0.0,11.9
APJ,FY21Q1,Timor,24.0,0.0,0.0,0.0,0.0,1242.3
APJ,FY21Q1,Vietnam,270.0,0.0,0.0,0.0,0.0,200.0
APJ,FY21Q2,Afghanistan,34457.0,1211.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Australia,10502.0,109.0,1331.0,6478.0,0.0,45.5
